"Date","Open","High","Low","Close","Volume"
"06/2015","43.54","44.93","42.46","42.51","31,804,412"
"05/2015","46.07","46.54","43.38","43.57","22,142,770"
"04/2015","42.91","46.78","42.58","46.16","28,823,147"
"03/2015","44.05","44.08","41.45","42.85","38,834,900"
"02/2015","40.27","45.12","40.25","43.85","36,928,822"
"01/2015","47.23","47.42","39.56","39.83","45,588,886"
"12/2014","50.73","50.87","44.29","47.78","38,673,022"
"11/2014","49.22","51.04","48.4","50.49","18,117,692"
"10/2014","49.06","49.38","44.22","49.26","33,092,460"
"09/2014","52.54","53.42","48.76","49.39","22,419,527"
"08/2014","52.34","53.49","50.39","52.63","27,319,345"
"07/2014","51.5","52.89","51.1526","52.25","16,719,822"
"06/2014","49.58","51.87","49.35","51.41","16,712,111"
"05/2014","48.15","49.79","47.06","49.59","13,020,679"
"04/2014","46.66","48.2176","46.171","48.09","16,243,855"
"03/2014","44.91","47.075","44.75","46.95","14,134,384"
"02/2014","43.44","45.66","42.62","45.33","14,475,979"
"01/2014","46.785","46.855","42.665","43.225","19,738,920"
"12/2013","45.45","47.33","43.8115","47.12","17,129,150"
"11/2013","45.905","47.105","45.35","45.705","13,507,452"
"10/2013","44.695","46.325","43.68","45.86","14,354,956"
"09/2013","43.115","45.335","42.7","44.99","16,984,318"
"08/2013","42.235","43.175","41.325","42.76","20,895,744"
"07/2013","40.215","43.4","39.255","42.09","26,449,558"
"06/2013","40.71","40.93","38.22","40.185","27,446,258"
"05/2013","40.955","41.765","39.75","40.425","25,681,106"
"04/2013","41.205","41.645","38.755","40.95","25,022,202"
"03/2013","41.18","41.86","40.6","41.635","18,536,396"
"02/2013","41.83","42.025","40.7247","41.145","17,236,000"
"01/2013","42.71","42.745","41.3","41.77","19,312,446"
"12/2012","41.765","42.3357","40.305","42.165","22,239,532"
"11/2012","40.695","41.7597","38.95","41.54","17,535,658"
"10/2012","41.525","42.3","40.5","40.67","13,407,682"
"09/2012","40.925","42.475","40.0322","41.67","15,088,960"
"08/2012","39.505","41.53","38.62","40.94","17,416,118"
"07/2012","38.91","40.22","38.145","39.29","18,889,544"
"06/2012","37.495","39.67","36.315","39.085","25,535,004"
"05/2012","42.285","42.515","37.185","38.185","30,134,890"
"04/2012","42.225","42.865","40.825","42.225","25,131,264"
"03/2012","41.32","43.28","39.725","42.475","34,942,790"
"02/2012","39.065","41.11","38.615","40.76","22,351,446"
"01/2012","37.71","39.99","37.005","38.56","22,957,134"
"12/2011","36.25","37.565","34.625","37.405","30,164,580"
"11/2011","36.42","36.82","32.6001","35.455","28,139,582"
"10/2011","34.79","38.78","32.28","37.64","30,416,346"
"09/2011","40.05","40.975","33.57","35.475","43,988,936"
"08/2011","40.63","40.71","35.575","39.425","58,290,540"
"07/2011","42.2","42.905","39.6605","39.935","23,910,120"
"06/2011","43.02","43.06","39.56","42.72","33,546,812"
"05/2011","43.335","43.915","41.7002","43.07","27,647,186"
"04/2011","44.345","44.8975","41.38","43.315","24,343,600"
"03/2011","41.735","44.72","40.775","44.295","38,555,128"
"02/2011","37.75","41.94","37.69","41.855","25,249,684"
"01/2011","37.435","38.8199","36.765","37.445","22,730,514"
"12/2010","37.035","37.38","34.665","37.155","32,384,522"
"11/2010","36.34","37.62","35.25","36.395","29,461,974"
"10/2010","36.125","37.735","35.425","36.1","38,176,656"
"09/2010","34.435","37.43","34.185","36.13","36,456,836"
"08/2010","36.12","36.5","32.04","33.755","33,996,108"
"07/2010","32.225","36.305","31.46","35.595","39,363,488"
"06/2010","33.75","36.6","31.46","32.05","50,959,002"
"05/2010","37.62","37.665","32.2","34.235","60,435,960"
"04/2010","37.215","38.785","35.95","37.23","36,931,254"
"03/2010","32.09","37.73","32.09","37.29","49,526,282"
"02/2010","29.695","32.08","28.9","31.945","35,699,446"
"01/2010","31.635","31.7","28.9","29.48","28,923,332"
"12/2009","31.93","32.46","29.68","31.36","28,357,676"
"11/2009","28.725","32.425","28.52","31.52","32,839,810"
"10/2009","32.175","32.195","28.3","28.62","42,988,210"
"09/2009","30.835","32.645","29.165","32.225","54,289,300"
"08/2009","29.575","32.105","27.6","30.84","47,105,688"
"07/2009","26.06","30.22","23.75","30.155","52,367,476"
"06/2009","25.68","26.88","23.9","25.91","71,651,878"
"05/2009","19.845","25.495","19.63","25.455","73,391,886"
"04/2009","16.9","20.605","16.63","19.71","74,637,508"
"03/2009","14.125","18.525","13.195","17.29","139,330,020"
"02/2009","15.995","16.92","12.93","14.67","96,201,266"
"01/2009","17.74","19.805","15.28","16.135","77,716,974"
"12/2008","17.755","18.37","15.75","17.935","68,790,052"
"11/2008","23.815","25.43","15.215","17.635","71,263,966"
"10/2008","30.05","30.05","20.155","23.52","70,843,966"
"09/2008","29.41","31.45","26.255","30.495","53,508,660"
"08/2008","30.63","30.64","27.33","29.125","26,823,532"
"07/2008","30.775","32.255","26.505","30.38","56,468,324"
"06/2008","35.74","35.875","31.015","31.135","39,577,288"
"05/2008","32.53","36.25","32.45","36.12","35,560,672"
"04/2008","30.625","33.305","30.39","32.865","62,781,906"
"03/2008","33.45","33.595","29.435","30.675","115,938,160"
"02/2008","34.195","34.84","32.245","33.515","62,075,052"
"01/2008","34.965","34.97","29.53","33.85","76,019,338"
"12/2007","37","37.32","34.165","34.975","44,416,548"
"11/2007","37.315","37.705","32.435","37.425","82,172,230"
"10/2007","38.28","38.54","34.825","37.7","116,114,244"
"09/2007","34.43","38.815","33.58","38.34","8,342,800"
"08/2007","31.805","34.45","29.715","34.175","14,729,800"
"07/2007","34.055","35.3228","31.85","32.06","9,507,400"
"06/2007","34.535","35.13","33.365","34.355","6,692,400"
"05/2007","30.75","35","30.015","34.54","5,942,800"
"04/2007","30.05","30.9399","29.715","30.56","3,782,400"
"03/2007","29.48","30.4449","28.565","30.205","5,159,008"
"02/2007","29.695","30.725","29.345","29.875","4,059,102"
"01/2007","29.695","29.905","28.875","29.64","6,731,000"
"12/2006","29.355","30.24","28.995","29.935","6,575,400"
"11/2006","28.6","30.055","28.57","29.305","3,563,800"
"10/2006","29.63","30.285","27.655","28.965","4,339,400"
"09/2006","28.975","30.13","28.01","29.57","4,339,200"
"08/2006","25.47","29.385","25.31","28.925","4,912,200"
"07/2006","25.7","26.52","24.76","25.625","5,127,200"
"06/2006","26.84","27.555","24.92","25.385","8,220,800"
"05/2006","28.075","28.71","26.8951","27.115","6,640,000"
"04/2006","27.775","28.275","27.36","27.94","2,106,800"
"03/2006","28.75","29.035","27.62","27.85","3,320,800"
"02/2006","26.635","28.9","26.4","28.72","2,947,200"
"01/2006","26.295","27.28","25.745","26.57","3,004,400"
"12/2005","25.805","26.51","25.21","26.35","2,926,000"
"11/2005","23.62","26.58","23.49","25.92","3,326,400"
"10/2005","24.705","24.875","23.25","23.655","3,815,400"
"09/2005","23.475","25.065","23.42","24.66","8,935,200"
"08/2005","22.9","23.76","22.285","23.595","6,470,800"
"07/2005","22.18","23.605","21.875","22.855","4,884,000"
"06/2005","21.46","22.79","20.895","22.305","7,276,600"
"05/2005","20.03","21.39","19.96","21.265","8,211,600"
"04/2005","20.715","20.755","19.785","19.995","6,084,200"
"03/2005","20.505","20.965","20.1","20.675","28,631,400"
"02/2005","19.395","20.59","19.375","20.47","4,349,600"
"01/2005","20.84","20.84","19.365","19.46","4,368,000"
"12/2004","20.19","20.845","19.76","20.84","3,600,000"
"11/2004","19.935","20.485","19.5","20.105","7,141,400"
"10/2004","18.25","20.14","18.25","20.09","3,537,400"
"09/2004","17.39","18.38","17.29","18.145","3,285,800"
"08/2004","16.55","17.65","16.23","17.39","3,119,200"
"07/2004","16.105","16.8","15.97","16.67","1,518,000"
"06/2004","16.5","17.265","15.905","16.09","2,254,000"
"05/2004","16.25","16.785","15.58","16.775","1,373,800"
"04/2004","17.55","18.345","15.915","16.13","2,086,000"
"03/2004","16.865","17.855","16.54","17.575","2,601,400"
"02/2004","16.31","17.265","16.3","16.785","1,923,400"
"01/2004","16.875","17.715","16.295","16.36","3,244,600"
"12/2003","15.81","16.88","15.37","16.71","2,719,800"
"11/2003","16.6","16.78","15.66","15.745","2,706,000"
"10/2003","14.225","16.78","14.21","16.645","3,988,000"
"09/2003","14.09","14.595","13.915","14.15","1,895,200"
"08/2003","13.325","14.24","12.88","14.1","2,418,000"
"07/2003","13.86","13.99","13.12","13.315","1,828,200"
"06/2003","12.805","14.355","12.805","13.89","3,377,600"
"05/2003","11.875","13.62","11.85","12.87","3,762,800"
"04/2003","11.105","12.125","10.97","11.795","2,559,400"
"03/2003","11.285","11.55","10.67","11.08","3,090,200"
"02/2003","10.655","11.635","10.425","11.275","1,706,400"
"01/2003","10.875","11.46","10.25","10.655","1,693,000"
"12/2002","10.855","11.405","10.51","10.825","2,007,400"
"11/2002","9.57","10.765","8.88","10.745","2,002,600"
"10/2002","8.745","10.475","7.885","9.565","3,301,800"
"09/2002","10.995","10.995","8.5","8.805","3,135,200"
"08/2002","10.33","11.445","9.965","11.085","2,885,600"
"07/2002","11.7","11.8","9.225","10.385","3,769,200"
"06/2002","12.605","12.605","10.76","11.75","2,738,200"
"05/2002","12.875","13.205","12.34","12.65","2,168,600"
"04/2002","13.55","14.3","13.24","13.295","1,314,600"
"03/2002","13.31","13.935","13.31","13.71","1,560,400"
"02/2002","13.38","13.555","12.625","13.24","1,846,400"
"01/2002","12.87","13.705","12.565","13.375","2,391,800"
"12/2001","12.39","13.31","12.295","12.87","1,372,000"
"11/2001","11.275","12.625","11.135","12.565","2,331,200"
"10/2001","12.3","12.925","11.1","11.255","2,084,600"
"09/2001","13.385","13.75","11.21","12.31","2,160,000"
"08/2001","12.79","14.44","12.48","13.435","3,487,800"
"07/2001","12.825","13.22","12.05","12.8","2,279,600"
"06/2001","13.05","13.885","12.505","12.795","2,971,800"
"05/2001","12.725","13.205","12.485","12.985","2,785,000"
"04/2001","12.585","13.03","12.175","12.725","2,997,800"
"03/2001","13.375","13.935","11.98","12.585","4,890,400"
"02/2001","14.76","15.165","12.75","13.34","4,346,000"
"01/2001","14.375","15.0315","13.6875","14.745","3,768,000"
"12/2000","13.0315","14.75","12.6565","14.5","5,360,600"
"11/2000","13.7815","14.5625","12.344","12.969","3,074,800"
"10/2000","14.844","15.5625","12.0625","13.7815","7,113,200"
"09/2000","14.4065","15.5625","13.969","14.75","2,493,000"
"08/2000","11.9375","14.344","11.875","14.2815","2,969,600"
"07/2000","12.25","12.5","11.7815","11.9375","1,903,000"
"06/2000","12.2815","13.219","12.125","12.1565","2,905,200"
"05/2000","11.5625","12.75","11.5625","12.2815","2,733,600"
"04/2000","13.3125","13.6875","11.375","11.5625","4,035,000"
"03/2000","12.7188","13.75","11.4688","13.3438","4,209,400"
"02/2000","12.625","13","11.8438","12.6875","3,765,400"
"01/2000","13.4688","13.9688","11.4063","12.625","5,114,800"
"12/1999","12","13.7813","11.8125","13.5","4,941,600"
"11/1999","11.5313","12.75","11.1875","12.0625","4,843,200"
"10/1999","9.7188","11.7188","9.625","11.5313","7,962,600"
"09/1999","9.875","10.4375","9.3125","9.75","6,002,600"
"08/1999","9.8125","10.8438","8.1875","9.75","10,432,800"
"07/1999","11.5","12.5156","9.5625","9.875","17,246,000"
"06/1999","13.4375","13.5","11","11.375","21,063,600"
"05/1999","13.625","14","12.5","13.25","21,525,200"
"04/1999","11.625","15.25","11.5625","13.3594","59,644,400"
"03/1999","10.3438","11.7344","9.7813","11.4844","8,803,200"
"02/1999","10.625","11.8125","10.0469","10.3125","14,568,400"
"01/1999","9.0313","10.6563","8.9375","10.4688","7,554,400"
"12/1998","8.3125","9.4844","7.8125","8.8125","3,312,000"
"11/1998","7.5156","8.8125","6.9063","8.375","1,653,200"
"10/1998","6.5313","7.6563","6.0313","7.5","2,399,600"
"09/1998","6.3438","7.6875","6.0938","6.6563","4,460,800"
"08/1998","9.8125","9.8125","6.2813","6.375","3,665,600"
"07/1998","11.3594","11.5469","9.8594","9.875","2,530,000"
"06/1998","11.1406","11.625","10.7656","11.3281","2,432,800"
"05/1998","11.4375","11.4688","10.4375","11.2031","2,065,200"
"04/1998","10.8906","13.0625","10.6563","11.4219","6,522,000"
"03/1998","10.5625","11.5781","10.2813","10.8438","1,627,200"
"02/1998","9.3438","11.1875","9.3438","10.5938","1,590,400"
"01/1998","9.4375","9.9531","8.5313","9.2031","2,730,800"
"12/1997","9","9.6875","8.9375","9.4219","1,843,200"
"11/1997","9.4063","9.8125","8.8125","8.8906","1,617,600"
"10/1997","8.5469","9.4531","8.125","9.125","2,891,600"
"09/1997","7.5938","8.5938","7.5938","8.5313","1,192,400"
"08/1997","8.0625","8.125","7.125","7.5625","1,597,200"
"07/1997","7.3438","8.1406","7.3438","8.0781","2,187,200"
"06/1997","7.5625","7.875","7.4063","7.4063","1,436,000"
"05/1997","7.0313","7.75","7.0313","7.5625","1,960,800"
"04/1997","6.25","7.0938","6.1563","7.0625","1,524,400"
"03/1997","7","7.5","6.2813","6.2813","4,506,800"
"02/1997","6.9063","7.4375","6.875","7.0313","3,211,200"
"01/1997","6.375","6.9375","6.1875","6.875","1,895,600"
"12/1996","6.6875","6.6875","5.7813","6.375","2,477,200"
