"Date","Open","High","Low","Close","Volume"
"08/2016","64.05","67.67","62.55","66.3","12,496,013"
"07/2016","63.17","65.77","62.53","64.12","12,024,694"
"06/2016","62.56","66.29","60.9254","63.39","13,652,053"
"05/2016","65.3","65.41","61.85","62.91","12,297,894"
"04/2016","60.01","65.5","58.61","65.16","11,951,634"
"03/2016","55.47","61.72","55.39","60.69","13,962,577"
"02/2016","53.28","55.44","49.1689","55.02","16,816,542"
"01/2016","55.27","55.385","47.54","53.52","17,930,004"
"12/2015","58","59.98","55.41","56.42","16,015,675"
"11/2015","58.11","58.22","55.49","57.64","10,151,187"
"10/2015","55.09","59.51","53.88","58.09","14,487,702"
"09/2015","53.17","54.72","51.31","54.55","16,327,910"
"08/2015","55.77","56.76","48.17","53.93","24,259,182"
"07/2015","59.73","59.96","54.8","55.25","15,865,863"
"06/2015","61.05","61.8181","59.27","59.28","15,978,879"
"05/2015","65.09","65.6089","60.69","61.1","12,297,313"
"04/2015","60.01","67.01","59.26","65.3","16,913,735"
"03/2015","61.79","62.03","58.3","59.97","16,378,804"
"02/2015","58.04","64.13","57.89","61.96","17,128,628"
"01/2015","70.65","70.87","57.37","57.48","20,141,235"
"12/2014","73.31","73.74","66.93","70.73","18,381,682"
"11/2014","72.38","74.4","70.83","73.69","11,015,087"
"10/2014","73.52","74.83","67.42","72.6","12,346,783"
"09/2014","76.85","78.56","72.98","73.62","7,777,636"
"08/2014","74.37","77.08","71.6","76.96","7,891,703"
"07/2014","73.54","76.72","73.54","74.57","6,137,872"
"06/2014","70.01","73.92","69.68","73.59","6,941,524"
"05/2014","68.89","71.33","68.15","70.3","5,094,738"
"04/2014","67","69.59","66.6","68.94","7,038,705"
"03/2014","65.48","67.32","64.17","67.01","6,748,047"
"02/2014","61.56","66.49","60.34","65.97","7,377,817"
"01/2014","66.5","67.44","61.03","61.08","10,006,844"
"12/2013","69.33","69.77","64.25","66.66","8,597,219"
"11/2013","69.75","71.26","68.92","69.75","5,679,344"
"10/2013","66.82","70.91","65.82","69.7","6,944,332"
"09/2013","63.38","67.2","63.07","66.82","7,562,260"
"08/2013","62.29","63.71","60.69","62.83","8,790,544"
"07/2013","58.31","64.27","57.48","62.12","10,502,829"
"06/2013","59.26","59.85","55.61","57.96","10,213,628"
"05/2013","62.66","63.25","59.08","59.08","12,504,744"
"04/2013","62.84","63.6","60.25","62.71","11,124,308"
"03/2013","62.05","63.16","61.6622","62.95","8,243,835"
"02/2013","63.26","63.45","61.26","62.23","8,999,045"
"01/2013","62.29","64.79","61.86","63.22","9,329,462"
"12/2012","60.16","61.84","59.44","61.3","10,420,140"
"11/2012","59.3","60.26","56.62","60.03","7,433,630"
"10/2012","59.3","60.99","58.96","59.12","7,440,004"
"09/2012","58.56","60.6","56.4278","59.04","9,044,651"
"08/2012","57.57","59.5","56.29","58.5","7,620,418"
"07/2012","55.25","58.27","54.97","57.22","8,254,462"
"06/2012","52.81","55.3199","50.95","55.26","11,119,622"
"05/2012","59.3","59.66","52.53","53.38","12,512,154"
"04/2012","59.11","60.31","57.53","59.37","10,396,600"
"03/2012","58.67","60.3699","56.45","59.42","13,387,536"
"02/2012","58.76","59.43","57.68","58.61","11,535,013"
"01/2012","55.76","60.9","55.71","58.12","11,833,992"
"12/2011","58.48","59.34","52.4","54.81","22,442,124"
"11/2011","57.16","58.79","52.74","58.65","18,776,161"
"10/2011","55.27","61.4","51.83","59.17","18,259,926"
"09/2011","62.66","62.8","53.655","55.85","22,886,731"
"08/2011","63.77","63.96","55.54","62.42","35,445,543"
"07/2011","63.59","65.79","62.4227","62.84","23,197,634"
"06/2011","63.8","63.88","60.21","63.55","22,598,853"
"05/2011","65.45","66.07","62.121","63.96","14,084,888"
"04/2011","65.44","66.64","63.35","65.63","13,204,660"
"03/2011","63.84","65.26","61.25","64.98","23,021,678"
"02/2011","58.01","63.87","58.01","63.83","26,053,807"
"01/2011","57.68","60.37","57.39","57.71","30,488,535"
"12/2010","59.72","62.18","55.07","58.23","31,046,759"
"11/2010","59.57","61.04","56.5","58.75","8,843,173"
"10/2010","58.21","60.78","57.32","59.25","10,065,787"
"09/2010","56.11","60.38","55.675","57.75","8,716,939"
"08/2010","62.11","62.2","51.11","55.22","11,384,840"
"07/2010","53.86","61.96","53","61.06","13,305,622"
"06/2010","58.54","62.56","53.86","54.28","18,228,999"
"05/2010","62.69","62.89","52","58.83","21,610,073"
"04/2010","61.04","65.68","59.95","61.99","12,325,498"
"03/2010","53.47","61.446","53.47","60.7","10,114,576"
"02/2010","49","53.76","47.47","53.17","7,462,128"
"01/2010","53.86","54.16","48.64","48.71","8,970,545"
"12/2009","51.79","53.42","49.61","53.08","8,091,258"
"11/2009","46.66","51.4","46.09","51.14","13,659,179"
"10/2009","50.59","51.38","45.88","46.37","13,485,530"
"09/2009","48.07","51.2","45.29","50.64","11,068,221"
"08/2009","51","51.76","44.3","48.22","16,136,012"
"07/2009","42.84","50.16","38.6","50.11","12,829,790"
"06/2009","40.96","43.41","38.81","42.15","14,094,628"
"05/2009","33.18","40.1","32.74","40.09","24,523,880"
"04/2009","25.82","33.8","25.36","33.01","25,532,656"
"03/2009","21.25","28.43","20.27","26.11","39,638,702"
"02/2009","26.32","26.73","19.32","22.13","25,137,960"
"01/2009","25.57","29.41","23.2601","26.7","13,800,608"
"12/2008","28.98","29.64","23.96","25.69","14,311,138"
"11/2008","36.04","39.11","22.56","28.82","12,195,847"
"10/2008","43","44.25","29.2","35.77","14,279,653"
"09/2008","44.71","49.01","40.23","43.1","14,570,947"
"08/2008","47.06","47.89","40.5","43.66","7,888,266"
"07/2008","41.08","49.52","37.7","46.87","13,501,259"
"06/2008","48.8","48.9","41.14","41.23","6,963,472"
"05/2008","49.25","51.24","47.7","49.08","5,746,393"
"04/2008","45.8","50.05","43.96","49.97","7,224,312"
"03/2008","50.31","50.45","38.24","44.81","17,815,606"
"02/2008","56.13","59.08","50.25","50.54","6,969,125"
"01/2008","57.02","58.07","49.78","56.46","7,716,647"
"12/2007","62.4","62.68","55","56.6","4,960,891"
"11/2007","65.65","67.6","55.42","63.09","6,404,776"
"10/2007","65.49","67.1","61.75","66.58","2,801,100"
"09/2007","61.83","65.62","58.8","65.48","2,633,200"
"08/2007","61.88","64","55.34","61.6","5,732,700"
"07/2007","64.7","67.61","62.38","62.51","2,677,900"
"06/2007","66.64","66.85","62.45","64.35","1,890,800"
"05/2007","62.95","66.83","60.93","66.71","2,192,166"
"04/2007","60.64","64.66","60.37","62.68","1,693,200"
"03/2007","59.23","62.27","58.09","60.58","1,861,434"
"02/2007","59.67","62.57","59.4","60.57","1,467,220"
"01/2007","59.29","60.37","57.96","59.6","2,390,600"
"12/2006","59.95","61.39","58.86","59.19","2,681,100"
"11/2006","61.1","63.65","59.87","59.92","1,039,800"
"10/2006","60.5","62","58.57","62","1,057,000"
"09/2006","60.61","61.91","58.07","60.77","1,369,800"
"08/2006","56.3","60.74","55.5","60.57","1,030,000"
"07/2006","53.92","57.36","53.6","56.69","1,145,900"
"06/2006","56.07","57.18","52.18","53.92","2,180,900"
"05/2006","58.13","58.22","54.01","56.66","1,838,800"
"04/2006","56.79","58.23","55.59","58","680,500"
"03/2006","60.2","60.25","55.8084","56.82","768,700"
"02/2006","59.37","61.26","57.67","60.73","710,200"
"01/2006","55.71","60.45","55.71","59.7","1,101,600"
"12/2005","53.78","56","53.1","55.94","663,500"
"11/2005","49.05","54.5","47.9","53.7","800,800"
"10/2005","49.8","49.8","47.55","49.02","1,071,600"
"09/2005","48.53","51","48.26","49.8","578,100"
"08/2005","50.1","51.62","47.85","48.78","1,728,100"
"07/2005","46.48","50.42","45.47","49.88","1,302,100"
"06/2005","44.48","47.07","44.3","46.53","751,000"
"05/2005","45.01","45.64","43.43","44.27","928,800"
"04/2005","46.42","46.62","44.79","45.03","604,400"
"03/2005","44.55","46.63","43.7","46.42","823,500"
"02/2005","44.54","46.35","42.85","44.45","937,100"
"01/2005","48","48","44.43","44.52","915,800"
"12/2004","46.6","48.25","44.5","48.14","793,100"
"11/2004","47.21","49.26","45.83","46.35","1,904,200"
"10/2004","43.87","47.72","43.78","47.27","757,300"
"09/2004","41.2","44","41.08","43.66","522,300"
"08/2004","41.2","42.18","39.41","41.29","680,400"
"07/2004","39.8","41.85","39.5","41.65","555,400"
"06/2004","39.13","40.27","38.57","40.03","580,000"
"05/2004","37.89","39.24","35.67","39.02","968,200"
"04/2004","41.39","43.03","37.32","37.72","785,700"
"03/2004","41.06","42","38.74","41.44","1,346,500"
"02/2004","43.22","43.93","39.67","40.74","1,163,400"
"01/2004","41.61","45.54","41.51","43.47","1,386,500"
"12/2003","41.22","42.25","39.33","41.3","1,127,400"
"11/2003","37.3","41.26","37.23","41.21","835,880"
"10/2003","34.5","38.43","34.5","37.44","1,114,100"
"09/2003","33.61","34.6","33.13","34.5","942,500"
"08/2003","31.21","33.84","30.02","33.69","880,500"
"07/2003","31.68","32.55","30.69","31.76","824,300"
"06/2003","29.31","32.2","29.21","31.75","1,042,100"
"05/2003","28.07","30.53","27.96","29.31","1,078,400"
"04/2003","27.45","28.3","27.11","27.89","1,184,800"
"03/2003","28.55","28.79","26.99","27.31","1,260,500"
"02/2003","27.27","29.1","25.67","28.45","1,013,200"
"01/2003","26.6","27.85","26.4","27.33","1,525,300"
"12/2002","25.85","27.07","25.25","26.52","1,288,100"
"11/2002","24.41","26.05","23.95","25.7","1,381,900"
"10/2002","23.1","26.05","21.2","24.59","2,710,700"
"09/2002","23.85","24.15","21.4","23.14","1,204,700"
"08/2002","21.88","24.1","21.5","23.8","1,003,500"
"07/2002","23.6","23.75","19.5","22.23","1,337,400"
"06/2002","24.63","24.73","22.9","23.6","592,500"
"05/2002","23.93","24.95","23.08","24.76","690,800"
"04/2002","23.94","24.88","23","23.88","706,500"
"03/2002","22.66","24.5","22.59","24.27","826,100"
"02/2002","22.7","22.8","21.4","22.53","744,600"
"01/2002","22.6","23.3","21.45","22.66","1,077,200"
"12/2001","21.82","23.98","21.33","22.73","918,700"
"11/2001","21.44","23.28","21.24","21.95","752,900"
"10/2001","24.7","25.24","20.75","21.37","1,028,800"
"09/2001","26.79","27.35","22.86","24.85","664,000"
"08/2001","26.5","28.57","25.87","26.92","776,300"
"07/2001","25.9","27.22","24.7","26.61","501,300"
"06/2001","25.89","28.52","25.38","25.82","1,049,400"
"05/2001","22.82","25.53","22.41","25.31","746,500"
"04/2001","24.9","25.41","22.67","22.83","849,700"
"03/2001","24.625","26.05","22.8","25.13","1,778,300"
"02/2001","27.4","29.15","24.72","24.945","2,774,200"
"01/2001","26.125","27.7","24.469","27.305","2,012,600"
"12/2000","23.219","26.6875","23","26.344","2,380,800"
"11/2000","22.969","23.8125","21.6875","23.2815","985,600"
"10/2000","22.719","23.9065","20.6565","23.1875","798,400"
"09/2000","20.594","22.844","20.5315","22.594","728,400"
"08/2000","21.375","22.969","20.1875","20.594","563,000"
"07/2000","21.344","22.375","21.125","21.5","387,600"
"06/2000","20.344","22.4065","20.3125","21.344","1,015,200"
"05/2000","18.344","20.344","17.9065","20.344","1,014,000"
