"Date","Open","High","Low","Close","Volume"
"02/2008","50.79","51.99","49","50.1","23,033,621"
"01/2008","51.12","51.36","44.25","50.38","21,226,088"
"12/2007","53.48","53.77","49.4","51.04","12,816,478"
"11/2007","58.71","58.95","48.95","53.34","14,119,458"
"10/2007","55.57","59.29","54.08","59.16","8,876,200"
"09/2007","51.79","55.54","50.16","55.52","6,649,165"
"08/2007","50.65","53.128","46.89","51.47","11,758,100"
"07/2007","53.08","56","50.45","51.04","7,457,900"
"06/2007","54.55","55.35","51.3","53.07","6,177,300"
"05/2007","52.42","56.45","51.16","54.57","5,493,900"
"04/2007","49.9","53.4","49.76","52.06","4,975,500"
"03/2007","44.83","50.9","44.8","49.9","7,454,060"
"02/2007","46.46","48.1","45.69","46.43","3,583,754"
"01/2007","47.48","47.86","45.19","46.28","3,621,400"
"12/2006","46.92","48.19","46.42","47.65","2,701,400"
"11/2006","43.91","48.41","43.86","46.69","3,211,900"
"10/2006","44.46","45.3","42.15","44.39","2,617,800"
"09/2006","44.5","45.52","42.82","44.46","2,647,600"
"08/2006","40.7","46.26","40.29","44.42","3,100,300"
"07/2006","40.68","42.53","40.43","40.77","2,525,700"
"06/2006","40.98","42.17","38.86","40.7","3,542,800"
"05/2006","42.93","43.23","39.81","41.12","4,789,300"
"04/2006","42.225","43.19","41.08","42.87","2,898,500"
"03/2006","41.605","43.805","41.52","42.16","5,174,600"
"02/2006","39.2","41.82","38.675","41.71","2,866,400"
"01/2006","38.9","40.36","38.435","39.1","4,035,200"
"12/2005","38.15","39.085","37.175","38.99","2,728,600"
"11/2005","35.255","39.18","34.95","38.265","2,386,800"
"10/2005","36.515","37.05","34.6","35.355","2,434,600"
"09/2005","33.875","36.865","33.575","36.5","2,993,200"
"08/2005","31.725","34.37","30.715","34.05","2,221,200"
"07/2005","30.85","32.65","30.2875","31.66","1,765,000"
"06/2005","30.085","31.265","29.58","30.98","1,802,800"
"05/2005","29.735","31.15","29.25","29.985","2,792,000"
"04/2005","30.43","30.48","29.145","29.785","2,311,400"
"03/2005","29.175","30.975","29.01","30.44","3,913,600"
"02/2005","25.335","29.595","25.245","29.35","3,216,200"
"01/2005","26.72","26.72","25.2","25.385","2,916,600"
"12/2004","26.35","26.89","25.23","26.72","2,324,600"
"11/2004","25.935","26.95","25.655","26.315","5,329,000"
"10/2004","23.73","26.17","23.52","26.01","3,064,200"
"09/2004","22.655","23.695","22.64","23.64","1,984,000"
"08/2004","23.275","24.375","22.375","22.645","3,057,200"
"07/2004","22.1","23.315","21.89","23.155","2,411,400"
"06/2004","21.505","22.245","21.215","22.165","2,493,600"
